,Title,Published_date,Views,Likes,Comments,Month
0,GIANT TIC TAC TOE vs. Tom Brady,28-10-2025,2807416,93268,330,Oct
1,All Sports Golf Battle 6 (feat. DP Wives),25-10-2025,5472361,132640,3604,Oct
2,Mystery Box Dunk Contest!,18-10-2025,4271868,101165,467,Oct
3,iShowSpeed Challenged Ty 💀,09-10-2025,1882143,60383,515,Oct
4,We Made the World’s Biggest Blaster!,04-10-2025,14392992,274951,562,Oct
5,Going to Every Disney Park in 75 Hours,04-10-2025,4558537,58649,1985,Oct
6,Is Dude Perfect chopped? 😭,27-09-2025,1069461,35357,549,Sep
7,Movie Stereotypes 😂,24-09-2025,2170757,64231,659,Sep
8,Dude Perfect vs. Good Good in Every Sport | Squad Games,13-09-2025,5345211,135378,6768,Sep
9,Thoughts on Ty’s B-Bite pick? 😆 First ep of our new podcast @almostathletes was electric,11-09-2025,1355378,37714,464,Sep
10,Better not miss the last one!,05-09-2025,8634402,170154,471,Sep
11,We Started A PODCAST,03-09-2025,1273842,34051,448,Sep
12,No WAY he actually did that! ✈️😱,02-09-2025,17114523,554915,1043,Sep
13,Can a Robot Beat a Human in Basketball?,23-08-2025,1276649,26193,185,Aug
14,Dude Perfect vs Robots,23-08-2025,12576133,94844,2183,Aug
15,Who is the Strongest Dude?,02-08-2025,7322679,98078,2084,Aug
16,I can’t look away 😂,26-07-2025,5296403,167166,885,Jul
17,Who was the Most Accurate 😂 #GalaxyZFold7 #SamsungPartner #GoogleGemini,25-07-2025,4785842,106577,435,Jul
18,15 Years of Trickshots…,23-07-2025,1879126,52931,694,Jul
19,I Tried America's Most Dangerous Sport,12-07-2025,6050001,131547,5993,Jul
20,We ACTUALLY thought this was Impossible…,11-07-2025,71933670,1797019,5302,Jul
21,THIS HAD A 0.001% CHANCE of going in 🤯 #ChatwithGemini,01-07-2025,6423892,185779,746,Jul
22,100 Person Airsoft Battle Royale,21-06-2025,8020496,135642,2566,Jun
23,Dude Perfect Exposed 🫣,16-06-2025,33740189,793992,2180,Jun
24,Marcelo aura farming at the end 👀,12-06-2025,9091701,131144,290,Jun
25,Who can stack the HIGHEST pile?! 🤯🧳,01-06-2025,2785180,62958,3430,Jun
26,HE DIDN’T EVEN HIT RIM 🤯⚽️,31-05-2025,98327219,2063994,2239,May
27,Level 1-50 EXTREME Basketball Shots With Caitlin Clark,31-05-2025,4503406,96304,2817,May
